UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure_Probability,Risk_Score,Risk_Level,Predicted_Failure_Type,Failure_Type_Probability,TWF_Probability,HDF_Probability,PWF_Probability,OSF_Probability,Key_Risk_Factor,Recommended_Action
3154,M18013,M,300.5,309.9,1483,49.3,124,0,0.0051127444,0.51127446,Low,Normal,2.9722192e-05,4.0745135e-06,2.9722192e-05,2.8013e-05,1.8109342e-05,No Major Risk Factor,정상 모니터링
3155,L50334,L,300.4,309.7,1534,42.5,127,0,0.0006071982,0.06071982,Low,Normal,2.1245603e-05,2.0150947e-06,1.9998319e-05,1.9480316e-05,2.1245603e-05,No Major Risk Factor,정상 모니터링
3156,L50335,L,300.5,309.8,1367,54.0,129,0,0.01623549,1.623549,Low,Normal,0.00016471907,1.5457863e-05,0.00016471907,1.2129388e-05,3.282719e-05,High Torque,정상 모니터링
3157,L50336,L,300.4,309.7,1467,36.9,131,0,0.00071291224,0.07129122,Low,Normal,2.5817453e-05,1.5191591e-05,2.5817453e-05,9.998836e-06,2.1245603e-05,No Major Risk Factor,정상 모니터링
3158,M18017,M,300.4,309.7,1488,42.2,133,0,0.001054489,0.1054489,Low,Normal,4.2879838e-05,3.1415123e-06,2.5390767e-05,4.2879838e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3159,L50338,L,300.4,309.7,1679,30.1,136,0,0.0042715413,0.42715412,Low,Normal,5.9039452e-05,5.9039452e-05,2.5817453e-05,1.0130812e-05,2.1245603e-05,No Major Risk Factor,정상 모니터링
3160,H32573,H,300.4,309.8,1409,47.5,138,0,0.047072913,4.707291,Low,Normal,5.1578136e-05,5.1578136e-05,3.4321572e-05,1.7032366e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3161,M18020,M,300.4,309.7,1367,51.2,143,0,0.0028665396,0.28665397,Low,Normal,0.0002962425,3.3181303e-05,0.0002962425,2.2063889e-05,1.8441642e-05,No Major Risk Factor,정상 모니터링
3162,L50341,L,300.4,309.8,1314,63.1,146,0,0.012694905,1.2694905,Low,Normal,0.00032796647,0.00013404716,0.00032796647,6.4074966e-06,0.00031534248,High Torque,정상 모니터링
3163,L50342,L,300.5,309.9,1480,40.0,148,0,0.0026257795,0.26257795,Low,Normal,2.801952e-05,1.9304223e-05,2.801952e-05,5.538963e-06,2.1245603e-05,No Major Risk Factor,정상 모니터링
3164,L50343,L,300.4,309.8,1549,38.9,150,0,0.0014168412,0.14168411,Low,Normal,2.3154927e-05,1.9486764e-05,2.3154927e-05,6.3596412e-06,2.1245603e-05,No Major Risk Factor,정상 모니터링
3165,L50344,L,300.4,309.7,1685,31.3,152,0,0.0022430953,0.22430953,Low,Normal,3.1099542e-05,3.1099542e-05,2.5817453e-05,5.1638085e-06,2.1245603e-05,No Major Risk Factor,정상 모니터링
3166,L50345,L,300.4,309.6,1536,34.5,154,0,0.0006461389,0.06461389,Low,Normal,2.4718427e-05,1.8673922e-05,2.4718427e-05,9.21772e-06,2.1245603e-05,No Major Risk Factor,정상 모니터링
3167,M18026,M,300.4,309.7,1539,37.7,156,0,0.0021616719,0.21616718,Low,Normal,2.8309083e-05,1.794369e-05,2.8309083e-05,2.3559784e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3168,L50347,L,300.4,309.7,1384,45.1,159,0,0.0044587962,0.44587964,Low,Normal,8.169979e-05,8.169979e-05,2.4480856e-05,6.6248836e-06,2.2826776e-05,No Major Risk Factor,정상 모니터링
3169,M18028,M,300.4,309.6,1614,30.3,161,0,0.004152113,0.41521132,Low,Normal,0.00012770522,0.00012770522,2.6084257e-05,2.3420538e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3170,M18029,M,300.4,309.6,1675,35.5,164,0,0.0022450385,0.22450384,Low,Normal,3.3256223e-05,1.3852384e-05,2.8309083e-05,3.3256223e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3171,M18030,M,300.4,309.7,1685,32.3,167,0,0.001294881,0.1294881,Low,Normal,2.7105236e-05,1.4533121e-05,2.7105236e-05,2.567823e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3172,L50351,L,300.4,309.6,1386,56.9,170,0,0.0042220405,0.42220405,Low,Normal,0.0002888641,7.413023e-05,2.6248477e-05,6.37252e-05,0.0002888641,High Torque,정상 모니터링
3173,M18032,M,300.3,309.6,1488,41.3,172,0,0.0015213427,0.15213427,Low,Normal,0.00016182408,2.7143156e-05,2.6928104e-05,0.00016182408,1.6821563e-05,No Major Risk Factor,정상 모니터링
3174,L50353,L,300.3,309.6,1624,32.6,175,0,0.00046782926,0.046782926,Low,Normal,8.19512e-05,1.225329e-05,2.4050307e-05,8.19512e-05,2.1245603e-05,No Major Risk Factor,정상 모니터링
3175,L50354,L,300.3,309.6,1600,34.6,177,0,0.00091904565,0.091904566,Low,Normal,8.826293e-05,1.250054e-05,2.4050307e-05,8.826293e-05,2.1245603e-05,No Major Risk Factor,정상 모니터링
3176,L50355,L,300.3,309.6,1468,44.7,179,0,0.0011846562,0.11846562,Low,Normal,9.535088e-05,2.7091151e-05,2.1074442e-05,9.535088e-05,2.5167103e-05,No Major Risk Factor,정상 모니터링
3177,L50356,L,300.3,309.6,1435,45.4,181,0,0.0075053503,0.750535,Low,Normal,0.00016540245,0.00016540245,2.0134341e-05,9.599388e-05,2.5167103e-05,No Major Risk Factor,정상 모니터링
3178,M18037,M,300.2,309.5,1564,33.4,183,0,0.002834161,0.2834161,Low,Normal,0.00017431364,1.931201e-05,2.6837786e-05,0.00017431364,1.7895789e-05,No Major Risk Factor,정상 모니터링
3179,M18038,M,300.2,309.4,1329,53.6,186,0,0.001923484,0.1923484,Low,Normal,0.0002519118,8.362959e-05,0.0002519118,8.6020176e-05,6.339154e-05,High Torque,정상 모니터링
3180,L50359,L,300.1,309.3,1570,36.8,189,0,0.0019941593,0.19941594,Low,Normal,5.0963015e-05,2.9884564e-05,2.7101278e-05,5.0963015e-05,2.312099e-05,No Major Risk Factor,정상 모니터링
3181,M18040,M,300.2,309.4,1433,48.8,191,0,0.0018288863,0.18288863,Low,Normal,0.000101908736,4.6842102e-05,2.4999348e-05,0.000101908736,3.6537935e-05,No Major Risk Factor,정상 모니터링
3182,L50361,L,300.2,309.4,1527,37.0,194,0,0.0024333494,0.24333493,Low,Normal,0.00011356895,0.00011356895,2.7101278e-05,2.8166172e-05,2.3345212e-05,No Major Risk Factor,정상 모니터링
3183,M18042,M,300.1,309.3,1443,50.3,196,0,0.0009718641,0.09718641,Low,Normal,7.751038e-05,2.2408176e-05,2.3740306e-05,7.751038e-05,4.2066662e-05,High Tool Wear,정상 모니터링
3184,L50363,L,300.1,309.3,1616,32.0,199,0,0.0007464656,0.074646555,Low,Normal,0.0010044738,0.0010044738,2.7101278e-05,2.735635e-05,2.364101e-05,High Tool Wear,정상 모니터링
3185,L50364,L,300.1,309.3,1654,31.0,201,0,0.0010520899,0.105208986,Low,Normal,0.0034811886,0.0034811886,2.447453e-05,2.735635e-05,2.4211184e-05,High Tool Wear,정상 모니터링
3186,L50365,L,300.1,309.3,1685,27.1,203,0,0.032351334,3.2351334,Low,Normal,0.027264543,0.027264543,2.343374e-05,2.735635e-05,2.8999719e-05,High Tool Wear,정상 모니터링
3187,M18046,M,300.2,309.4,1456,48.8,205,0,0.010865578,1.0865579,Low,Normal,0.0029262574,0.0029262574,2.7008911e-05,7.751038e-05,6.124844e-05,High Tool Wear,정상 모니터링
3188,M18047,M,300.2,309.4,1752,27.8,208,0,0.0825739,8.25739,Low,Normal,0.060569175,0.060569175,3.1159714e-05,7.414811e-05,3.9977782e-05,High Tool Wear,정상 모니터링
3189,M18048,M,300.1,309.2,1438,51.0,211,0,0.015922844,1.5922844,Low,Normal,0.01077259,0.01077259,3.095178e-05,6.496947e-05,0.0005041367,High Tool Wear,정상 모니터링
3190,L50369,L,300.1,309.1,1551,33.7,214,0,0.042801686,4.2801685,Low,Normal,0.030752936,0.030752936,3.1465643e-05,7.117851e-06,5.6821907e-05,High Tool Wear,정상 모니터링
3191,L50370,L,300.1,309.2,1599,30.1,216,0,0.07766668,7.766668,Low,Normal,0.48593622,0.48593622,3.1465643e-05,1.8231107e-05,5.7426794e-05,High Tool Wear,정상 모니터링
3192,M18051,M,300.1,309.2,1732,33.7,218,0,0.062512666,6.2512665,Low,Normal,0.009618056,0.009618056,3.58666e-05,6.1500454e-05,4.532053e-05,High Tool Wear,정상 모니터링
3193,M18052,M,300.1,309.2,1418,39.8,221,0,0.012093023,1.2093023,Low,Normal,0.034296796,0.034296796,3.58666e-05,6.118568e-05,4.532053e-05,High Tool Wear,정상 모니터링
3194,L50373,L,300.0,309.1,1401,44.5,0,0,0.00084723835,0.08472384,Low,Normal,0.00021416998,7.3420783e-06,2.7846796e-05,0.00021416998,2.1577798e-05,No Major Risk Factor,정상 모니터링
3195,L50374,L,300.0,309.0,1454,51.7,2,0,0.0004756101,0.047561012,Low,Normal,7.734027e-05,3.3586834e-06,3.464043e-05,7.734027e-05,3.9847306e-05,No Major Risk Factor,정상 모니터링
3196,M18055,M,300.0,309.2,1635,32.4,4,0,0.0003141599,0.03141599,Low,Normal,0.00045755398,7.771946e-06,3.4836183e-05,0.00045755398,1.6821563e-05,No Major Risk Factor,정상 모니터링
3197,L50376,L,300.0,309.1,1489,40.3,7,0,0.00044833866,0.044833865,Low,Normal,6.495689e-05,6.625534e-06,2.7846796e-05,6.495689e-05,2.1577798e-05,No Major Risk Factor,정상 모니터링
3198,L50377,L,300.0,309.1,1465,40.6,9,0,0.0005950641,0.05950641,Low,Normal,6.670437e-05,6.4277674e-06,3.3697062e-05,6.670437e-05,2.1577798e-05,No Major Risk Factor,정상 모니터링
3199,M18058,M,300.0,309.1,1463,45.7,11,0,0.00065336615,0.065336615,Low,Normal,0.00019030551,3.0541678e-06,4.9394894e-05,0.00019030551,1.6821563e-05,No Major Risk Factor,정상 모니터링
3200,H32613,H,300.1,309.1,1560,35.4,14,0,0.00030411998,0.030411998,Low,Normal,5.7940124e-05,8.9338155e-06,3.4189303e-05,5.7940124e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3201,M18060,M,300.1,309.2,1454,44.4,19,0,0.0019530524,0.19530523,Low,Normal,0.0001892374,6.353627e-06,2.5967904e-05,0.0001892374,1.6821563e-05,No Major Risk Factor,정상 모니터링
3202,L50381,L,300.2,309.1,1479,47.0,22,0,0.00043850765,0.043850765,Low,Normal,3.4326873e-05,2.7388699e-06,3.4326873e-05,1.5273261e-05,2.4302859e-05,No Major Risk Factor,정상 모니터링
3203,L50382,L,300.2,309.2,1430,43.4,24,0,0.0010028529,0.10028529,Low,Normal,2.7846796e-05,4.7563863e-06,2.7846796e-05,1.7094071e-05,2.2014268e-05,No Major Risk Factor,정상 모니터링
3204,M18063,M,300.1,309.1,1533,38.0,26,0,0.00075489545,0.07548954,Low,Normal,0.00015487055,6.987806e-06,3.4836183e-05,0.00015487055,1.6821563e-05,No Major Risk Factor,정상 모니터링
3205,L50384,L,300.1,309.0,1404,54.8,29,0,0.00050820614,0.050820615,Low,Normal,6.540698e-05,3.9508946e-06,4.4132088e-05,9.559257e-06,6.540698e-05,High Torque,정상 모니터링
3206,M18065,M,300.1,308.9,1548,38.4,31,0,0.0008801365,0.08801365,Low,Normal,0.00013744137,1.3256838e-05,3.4836183e-05,0.00013744137,1.852424e-05,No Major Risk Factor,정상 모니터링
3207,M18066,M,300.1,309.0,1612,33.0,34,0,0.00023387857,0.023387857,Low,Normal,8.3571234e-05,6.74643e-06,3.4836183e-05,8.3571234e-05,1.852424e-05,No Major Risk Factor,정상 모니터링
3208,M18067,M,300.2,309.0,1642,31.2,37,0,0.00028965864,0.028965864,Low,Normal,7.366014e-05,1.3975001e-05,3.1336847e-05,7.366014e-05,1.852424e-05,No Major Risk Factor,정상 모니터링
3209,M18068,M,300.2,309.1,1406,42.2,40,0,0.0011955258,0.119552575,Low,Normal,7.767398e-05,5.3494286e-06,3.1336847e-05,7.767398e-05,1.852424e-05,No Major Risk Factor,정상 모니터링
3210,L50389,L,300.3,309.2,1587,31.4,43,0,0.00015676097,0.015676098,Low,Normal,3.031215e-05,1.2164859e-05,3.031215e-05,9.205641e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3211,M18070,M,300.3,309.2,1364,47.6,45,0,0.0056619295,0.5661929,Low,Normal,0.0001258735,2.0850963e-05,0.0001258735,6.4560125e-05,1.7429353e-05,No Major Risk Factor,정상 모니터링
3212,L50391,L,300.3,309.2,1462,51.4,48,0,0.00046675286,0.046675287,Low,Normal,4.491231e-05,2.5721258e-06,2.8928096e-05,8.965232e-06,4.491231e-05,No Major Risk Factor,정상 모니터링
3213,L50392,L,300.3,309.2,1649,32.4,50,0,0.00014662172,0.014662173,Low,Normal,3.031215e-05,7.0535075e-06,3.031215e-05,8.652944e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3214,L50393,L,300.4,309.2,1752,29.0,52,0,0.00076982396,0.076982394,Low,Normal,3.031215e-05,2.202836e-05,3.031215e-05,8.003975e-06,2.4242538e-05,High RPM,정상 모니터링
3215,H32628,H,300.4,309.3,1396,51.2,54,0,0.0011747831,0.11747831,Low,Normal,3.481277e-05,1.4687921e-05,3.481277e-05,1.994889e-05,1.8757668e-05,No Major Risk Factor,정상 모니터링
3216,M18075,M,300.5,309.4,2179,16.3,59,0,0.0056969975,0.56969976,Low,Normal,0.00045066103,0.00045066103,3.1336847e-05,0.00023699518,1.852424e-05,High RPM,정상 모니터링
3217,L50396,L,300.5,309.5,1653,27.6,62,0,0.001164301,0.1164301,Low,Normal,5.392519e-05,5.392519e-05,3.031215e-05,1.8435752e-05,2.2014268e-05,No Major Risk Factor,정상 모니터링
3218,L50397,L,300.6,309.5,2025,21.4,64,0,0.000988807,0.09888069,Low,Normal,0.00011264378,0.00011264378,3.031215e-05,3.8274455e-05,2.4242538e-05,High RPM,정상 모니터링
3219,L50398,L,300.6,309.6,1426,53.6,66,0,0.0013990059,0.1399006,Low,Normal,5.27704e-05,5.3245853e-06,3.3008004e-05,4.060235e-06,5.27704e-05,High Torque,정상 모니터링
3220,M18079,M,300.6,309.6,1503,38.4,68,0,0.0010008962,0.100089625,Low,Normal,0.00012820425,2.0301311e-05,2.8532115e-05,0.00012820425,1.6821563e-05,No Major Risk Factor,정상 모니터링
3221,M18080,M,300.7,309.6,1525,36.5,71,0,0.0003799175,0.03799175,Low,Normal,0.00016644967,2.7616346e-05,2.8532115e-05,0.00016644967,1.852424e-05,No Major Risk Factor,정상 모니터링
3222,L50401,L,300.6,309.6,1423,49.1,74,0,0.0030629684,0.30629683,Low,Normal,3.0373467e-05,5.3245853e-06,3.0373467e-05,2.8743016e-06,2.2745226e-05,No Major Risk Factor,정상 모니터링
3223,M18082,M,300.7,309.7,1435,44.7,76,0,0.0054008234,0.54008234,Low,Normal,5.107721e-05,1.2073681e-05,2.1268632e-05,5.107721e-05,1.6821563e-05,No Major Risk Factor,정상 모니터링
3224,H32637,H,300.6,309.5,1495,36.5,79,0,0.00048465177,0.048465177,Low,Normal,2.9190782e-05,1.7878765e-05,2.9190782e-05,7.199583e-06,1.852424e-05,No Major Risk Factor,정상 모니터링
3225,M18084,M,300.6,309.5,1557,33.8,84,0,0.00043408002,0.043408003,Low,Normal,0.0001188342,1.4229688e-05,2.974309e-05,0.0001188342,1.852424e-05,No Major Risk Factor,정상 모니터링
3226,L50405,L,300.6,309.4,1474,40.7,87,0,0.00081405864,0.08140586,Low,Normal,2.4242538e-05,8.147039e-06,2.2414884e-05,1.8689425e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3227,L50406,L,300.5,309.3,1465,46.0,89,0,0.00090510154,0.09051015,Low,Normal,3.939139e-05,3.8325575e-06,3.939139e-05,1.8937466e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3228,M18087,M,300.5,309.3,1589,34.9,91,0,0.00045963834,0.045963835,Low,Normal,2.8695646e-05,8.90802e-06,2.8695646e-05,1.4069276e-05,1.852424e-05,No Major Risk Factor,정상 모니터링
3229,L50408,L,300.5,309.3,1475,46.8,94,0,0.0008473675,0.08473675,Low,Normal,2.7978773e-05,4.0830787e-06,2.7978773e-05,1.8497724e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3230,L50409,L,300.6,309.4,1442,43.2,96,0,0.001522281,0.1522281,Low,Normal,2.4242538e-05,4.9889477e-06,2.162551e-05,1.8267509e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3231,L50410,L,300.6,309.4,1556,36.0,98,0,0.00040099988,0.04009999,Low,Normal,2.6168796e-05,7.792861e-06,2.6168796e-05,1.8742079e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3232,L50411,L,300.7,309.3,1425,45.3,100,0,0.0038917363,0.38917363,Low,Normal,2.4242538e-05,9.384465e-06,1.9933392e-05,2.808841e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3233,L50412,L,300.7,309.3,1580,38.3,102,0,0.000623681,0.0623681,Low,Normal,2.4242538e-05,9.0984095e-06,2.1690199e-05,2.8837167e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3234,H32647,H,300.8,309.4,1474,40.7,104,0,0.0014003163,0.14003162,Low,Normal,2.334294e-05,1.0157241e-05,2.334294e-05,6.5334116e-06,1.852424e-05,No Major Risk Factor,정상 모니터링
3235,L50414,L,300.8,309.4,1489,38.4,109,0,0.00067452184,0.067452185,Low,Normal,2.6813917e-05,9.842026e-06,2.6813917e-05,3.0762876e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3236,L50415,L,300.8,309.4,1946,20.5,111,0,0.0007278215,0.07278215,Low,Normal,8.468328e-05,8.468328e-05,2.6813917e-05,1.0428688e-05,2.4242538e-05,High RPM,정상 모니터링
3237,M18096,M,300.8,309.4,1342,62.4,113,1,0.96537745,96.53774,Critical,HDF,0.0009074939,1.9240979e-05,0.0009074939,5.984842e-05,0.000108192464,High Torque,즉시 점검: Air Temperature / Temperature Difference
3238,M18097,M,300.9,309.5,1758,26.8,116,0,0.0015557552,0.15557551,Low,Normal,8.233487e-05,8.233487e-05,2.940306e-05,4.7541125e-05,1.852424e-05,High RPM,정상 모니터링
3239,M18098,M,300.9,309.4,1724,25.6,119,0,0.0014185214,0.14185214,Low,Normal,0.00010269638,0.00010126929,0.00010269638,2.3408367e-05,1.852424e-05,High RPM,정상 모니터링
3240,L50419,L,301.0,309.5,1430,48.5,122,0,0.014081072,1.4081072,Low,Normal,0.0011899802,5.88383e-06,0.0011899802,1.666691e-05,3.0887353e-05,High Air Temp + Low Temp Diff,정상 모니터링
3241,L50420,L,300.9,309.5,1612,35.2,124,0,0.00049676036,0.049676035,Low,Normal,2.6813917e-05,1.3576261e-05,2.6813917e-05,6.462957e-06,2.4242538e-05,No Major Risk Factor,정상 모니터링
3242,H32655,H,300.9,309.5,1469,43.4,126,0,0.0010831378,0.108313784,Low,Normal,2.2352853e-05,3.0240112e-06,2.2352853e-05,2.050061e-05,1.852424e-05,No Major Risk Factor,정상 모니터링
3243,L50422,L,300.9,309.6,1384,42.4,131,0,0.0009014845,0.09014845,Low,Normal,2.6827984e-05,6.65262e-06,2.6827984e-05,7.201011e-06,2.2056336e-05,No Major Risk Factor,정상 모니터링
3244,L50423,L,301.0,309.6,1724,28.1,133,0,0.0016240375,0.16240375,Low,Normal,6.221735e-05,6.221735e-05,2.5894655e-05,8.054904e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3245,M18104,M,301.0,309.6,1397,48.0,135,0,0.02848751,2.8487508,Low,Normal,7.6684395e-05,2.3723715e-05,4.480169e-05,7.6684395e-05,2.0150994e-05,High Air Temp + Low Temp Diff,정상 모니터링
3246,M18105,M,301.0,309.6,1588,32.7,138,0,0.0005938508,0.05938508,Low,Normal,5.472537e-05,3.360804e-05,2.8395034e-05,5.472537e-05,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3247,L50426,L,301.0,309.7,1468,42.0,141,0,0.00036741278,0.03674128,Low,Normal,3.081069e-05,2.441924e-06,2.3154927e-05,1.13762735e-05,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3248,M18107,M,301.0,309.8,1594,31.1,143,0,0.0005968562,0.059685618,Low,Normal,3.7567348e-05,2.8062736e-05,2.8310378e-05,3.7567348e-05,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3249,M18108,M,301.0,309.7,1511,39.3,146,0,0.0009819458,0.09819458,Low,Normal,5.6170877e-05,1.1158302e-05,3.072507e-05,5.6170877e-05,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3250,L50429,L,301.1,309.8,1493,38.9,149,0,0.00056693325,0.056693323,Low,Normal,3.081069e-05,8.68315e-06,2.801952e-05,9.615257e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3251,H32664,H,301.2,309.8,1709,27.0,151,0,0.002024363,0.2024363,Low,Normal,0.00024994762,0.00024994762,2.7867758e-05,1.4737126e-05,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3252,L50431,L,301.1,309.6,1501,36.1,156,0,0.00054595014,0.054595016,Low,Normal,0.00010083691,2.248663e-05,0.00010083691,8.788754e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3253,L50432,L,301.1,309.7,1668,30.8,158,0,0.00078166655,0.078166656,Low,Normal,5.2113926e-05,5.2113926e-05,2.3858485e-05,5.5854566e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3254,L50433,L,301.1,309.6,1502,48.9,160,0,0.0023203471,0.23203471,Low,Normal,0.0002630083,1.6712926e-05,0.0002630083,9.397199e-06,8.999914e-05,High Air Temp + Low Temp Diff,정상 모니터링
3255,M18114,M,301.0,309.7,1288,58.4,162,0,0.019671885,1.9671885,Low,Normal,0.00043866318,2.4171504e-05,0.00043866318,4.0184757e-05,0.00015914041,High Air Temp + Low Temp Diff,정상 모니터링
3256,L50435,L,301.0,309.7,1491,42.9,165,0,0.00074054266,0.07405426,Low,Normal,3.081069e-05,1.1423293e-05,2.1830023e-05,6.8559125e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3257,L50436,L,301.1,309.8,1519,39.6,167,0,0.0006788445,0.06788445,Low,Normal,3.081069e-05,1.8310508e-05,2.3623905e-05,9.427548e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3258,L50437,L,301.2,309.9,1984,19.7,169,0,0.0015654289,0.1565429,Low,Normal,0.00015450298,0.00015450298,2.3787352e-05,9.233098e-06,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3259,L50438,L,301.2,309.9,1643,32.9,171,0,0.00021156174,0.021156173,Low,Normal,3.237808e-05,1.0170084e-05,2.581627e-05,3.237808e-05,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3260,M18119,M,301.2,310.0,1625,31.6,173,0,0.0004622128,0.04622128,Low,Normal,0.00023447942,2.0318761e-05,2.7105236e-05,0.00023447942,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3261,M18120,M,301.3,310.0,2068,17.8,176,0,0.008794226,0.87942255,Low,Normal,0.00024334002,0.00024334002,2.4299961e-05,0.00013304397,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3262,H32675,H,301.3,310.1,1469,39.7,179,0,0.0019516932,0.19516931,Low,Normal,8.996979e-05,2.100634e-05,2.9792682e-05,8.996979e-05,2.3710665e-05,High Air Temp + Low Temp Diff,정상 모니터링
3263,L50442,L,301.3,310.1,1558,36.3,184,0,0.0007161198,0.07161198,Low,Normal,3.887954e-05,3.8238664e-05,2.7101278e-05,3.887954e-05,3.67381e-05,High Air Temp + Low Temp Diff,정상 모니터링
3264,L50443,L,301.3,310.0,1344,54.8,186,0,0.012936599,1.2936598,Low,Normal,0.0014333103,1.1015755e-05,8.272001e-05,2.6444503e-05,0.0014333103,High Air Temp + Low Temp Diff,정상 모니터링
3265,H32678,H,301.3,310.1,1455,44.1,188,0,0.0024437124,0.24437125,Low,Normal,9.588209e-05,1.9527393e-05,2.3152013e-05,9.588209e-05,2.6347288e-05,High Air Temp + Low Temp Diff,정상 모니터링
3266,L50445,L,301.3,310.1,1355,53.6,193,0,0.020340737,2.0340736,Low,Normal,0.00074734644,1.2113564e-05,7.456604e-05,1.4004352e-05,0.00074734644,High Air Temp + Low Temp Diff,정상 모니터링
3267,L50446,L,301.3,310.1,1269,56.8,195,1,0.97367835,97.367836,Critical,OSF,0.99937373,1.1705331e-05,0.0002658384,1.3293997e-05,0.99937373,High Tool Wear / High Air Temp + Low Temp Diff / High Torque + High Tool Wear,즉시 점검: Torque 및 Tool Wear 동시 고위험
3268,L50447,L,301.3,310.0,1550,41.5,197,0,0.00051545334,0.051545333,Low,Normal,3.4648292e-05,1.5076765e-05,2.0695454e-05,1.7625083e-05,3.4648292e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3269,M18128,M,301.3,310.1,1525,37.8,199,0,0.0027189804,0.27189803,Low,Normal,0.0015797557,0.0015797557,3.089183e-05,0.0001425502,2.6602795e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3270,M18129,M,301.3,310.0,1696,32.4,202,0,0.0012567096,0.12567095,Low,Normal,0.00045923103,0.00045923103,3.089183e-05,0.00013665116,2.6383595e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3271,L50450,L,301.4,310.1,1937,21.8,205,0,0.03613409,3.613409,Low,Normal,0.022366116,0.022366116,2.5063562e-05,1.0004702e-05,5.6335135e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3272,M18131,M,301.4,310.0,1689,32.1,207,0,0.017082268,1.7082268,Low,Normal,0.008437198,0.008437198,3.4761415e-05,0.00013665116,4.941963e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3273,M18132,M,301.3,310.0,1593,30.8,210,0,0.020775093,2.0775092,Low,Normal,0.07176507,0.07176507,3.58666e-05,0.00013665116,5.1336214e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3274,M18133,M,301.3,309.9,1565,36.0,213,0,0.075358346,7.535835,Low,Normal,0.0066173263,0.0066173263,3.5973888e-05,0.0001334657,5.615197e-05,High Tool Wear / High Air Temp + Low Temp Diff,정상 모니터링
3275,L50454,L,301.3,310.0,1665,31.4,0,0,0.00023025478,0.023025477,Low,Normal,0.00028687925,1.0491063e-05,3.3697062e-05,0.00028687925,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3276,H32689,H,301.3,310.0,1532,36.3,2,0,0.0004680699,0.046806987,Low,Normal,0.00048440055,1.0075411e-05,3.4189303e-05,0.00048440055,2.1700089e-05,High Air Temp + Low Temp Diff,정상 모니터링
3277,L50456,L,301.3,310.0,1438,40.9,7,0,0.0063660825,0.63660824,Low,Normal,0.00010533149,4.9976766e-06,3.3697062e-05,0.00010533149,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
3278,L50457,L,301.3,310.1,1531,41.6,9,0,0.00042837154,0.042837154,Low,Normal,0.000112834496,3.8178528e-06,2.5118765e-05,0.000112834496,3.366536e-05,High Air Temp + Low Temp Diff,정상 모니터링
3279,L50458,L,301.3,310.0,1506,40.8,11,0,0.00044013947,0.044013947,Low,Normal,9.512774e-05,3.752706e-06,2.7846796e-05,9.512774e-05,3.081069e-05,High Air Temp + Low Temp Diff,정상 모니터링
